"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5417","should open Violation -> Manual and return to Home","","Sat Oct 04 22:23:20 IST 2025","passed","Sat Oct 04 22:23:25 IST 2025","","Home Screen Functionality","",""
"","972","should perform Clock Out action successfully","","Sat Oct 04 19:49:30 IST 2025","passed","Sat Oct 04 19:49:31 IST 2025","","Home Screen Functionality","",""
"","28173","should login and reach Home screen","","Sat Oct 04 19:54:21 IST 2025","broken","Sat Oct 04 19:54:49 IST 2025","","Login flow","",""
"","5118","should open Work Progress and return to Home","","Sat Oct 04 22:22:50 IST 2025","passed","Sat Oct 04 22:22:55 IST 2025","","Home Screen Functionality","",""
"","1847","should logout from the app","","Sat Oct 04 13:10:46 IST 2025","passed","Sat Oct 04 13:10:48 IST 2025","","Logout flow","",""
"","1101","should skip dashboard and login, then logout","","Fri Oct 03 12:28:59 IST 2025","broken","Fri Oct 03 12:29:01 IST 2025","","Login flow via Dashboard Skip","",""
"","6159","should skip dashboard and login","","Fri Oct 03 13:05:01 IST 2025","broken","Fri Oct 03 13:05:07 IST 2025","","Login flow via Dashboard Skip","",""
"","11008","should login and perform clock in/out","","Fri Oct 03 13:04:33 IST 2025","broken","Fri Oct 03 13:04:44 IST 2025","","Clock In / Clock Out flow","",""
"","5295","should open Activity Logs and return to Home","","Sat Oct 04 22:23:04 IST 2025","passed","Sat Oct 04 22:23:10 IST 2025","","Home Screen Functionality","",""
"","11453","should clock in","","Sun Sep 28 12:20:21 IST 2025","broken","Sun Sep 28 12:20:32 IST 2025","","Attendance Feature","",""
"","2461","should perform Clock In action successfully","","Sat Oct 04 13:05:51 IST 2025","passed","Sat Oct 04 13:05:53 IST 2025","","Home Screen Functionality","",""
"","7793","should open Violation -> Quick Snap and return to Home","","Sat Oct 04 22:23:33 IST 2025","passed","Sat Oct 04 22:23:41 IST 2025","","Home Screen Functionality","",""
"","8599","should skip dashboard (if present) and login successfully","","Sat Oct 04 12:54:48 IST 2025","passed","Sat Oct 04 12:54:56 IST 2025","","Login flow via Dashboard Skip","",""
"","1051","should handle Clock Out if available","","Sat Oct 04 22:22:49 IST 2025","broken","Sat Oct 04 22:22:50 IST 2025","","Home Screen Functionality","",""
"","4897","should open Daily Work Plan and return to Home","","Sat Oct 04 22:23:15 IST 2025","passed","Sat Oct 04 22:23:20 IST 2025","","Home Screen Functionality","",""
"","2069","should logout from the app","","Sat Oct 04 19:49:57 IST 2025","passed","Sat Oct 04 19:49:59 IST 2025","","Logout flow","",""
"","6625","should perform Clock Out action successfully","","Sat Oct 04 13:05:53 IST 2025","failed","Sat Oct 04 13:06:00 IST 2025","","Home Screen Functionality","",""
"","11645","should login and reach Home screen","","Sat Oct 04 19:10:08 IST 2025","passed","Sat Oct 04 19:10:20 IST 2025","","Login flow","",""
"","10661","should logout successfully","","Sun Sep 28 12:20:55 IST 2025","broken","Sun Sep 28 12:21:06 IST 2025","","Logout Feature","",""
"","12803","should open Violation and return to Home","","Sat Oct 04 22:09:52 IST 2025","passed","Sat Oct 04 22:10:04 IST 2025","","Home Screen Functionality","",""
"","2","should perform Clock In action successfully","","Sat Oct 04 19:56:58 IST 2025","broken","Sat Oct 04 19:56:58 IST 2025","","Home Screen Functionality","",""
"","1057","should handle Clock In if available","","Sat Oct 04 22:22:48 IST 2025","broken","Sat Oct 04 22:22:49 IST 2025","","Home Screen Functionality","",""
"","9526","should open Pickup and return to Home","","Sat Oct 04 22:22:55 IST 2025","passed","Sat Oct 04 22:23:04 IST 2025","","Home Screen Functionality","",""
"","5365","should open Add Notes and return to Home","","Sat Oct 04 22:23:10 IST 2025","passed","Sat Oct 04 22:23:15 IST 2025","","Home Screen Functionality","",""
"","8148","should open Violation -> Scan View and return to Home","","Sat Oct 04 22:23:25 IST 2025","passed","Sat Oct 04 22:23:33 IST 2025","","Home Screen Functionality","",""
"","5021","should launch the GWL TrashScan app","","Fri Oct 03 13:04:50 IST 2025","passed","Fri Oct 03 13:04:55 IST 2025","","Launch App Test","",""
"","437","should allow valid user to login","","Sun Sep 28 12:20:48 IST 2025","broken","Sun Sep 28 12:20:48 IST 2025","","Login Feature","",""
"","10460","should clock out","","Sun Sep 28 12:20:32 IST 2025","broken","Sun Sep 28 12:20:43 IST 2025","","Attendance Feature","",""
